car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture,price_numeric,kms_numeric
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.45 Lakh,"22,402 km",Petrol,Mumbai,2016,445000,22402
Maruti Suzuki Alto 800 Lxi,₹ 2.93 Lakh,"10,344 km",Petrol,Kolkata,2019,293000,10344
Tata Safari XZ Plus New,₹ 22.49 Lakh,"12,999 km",Diesel,Bangalore,2021,2249000,12999
Maruti Suzuki Ciaz ZXI+,₹ 6.95 Lakh,"45,000 km",Petrol,Thane,2016,695000,45000
Jeep Compass Sport Plus 1.4 Petrol [2019-2020],₹ 12 Lakh,"11,193 km",Petrol,Kolkata,2019,1200000,11193
Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],₹ 3.72 Lakh,"42,906 km",Petrol,Chennai,2017,372000,42906
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 11.5 Lakh,"66,602 km",Diesel,Mumbai,2017,1150000,66602
Maruti Suzuki Ertiga VXi AT,₹ 10.39 Lakh,"13,189 km",Petrol,Bangalore,2019,1039000,13189
Toyota Etios Liva G,₹ 3.75 Lakh,"67,815 km",Petrol,Mumbai,2013,375000,67815
Renault Kwid 1.0 RXT AMT Opt [2016-2019],₹ 4.25 Lakh,"19,509 km",Petrol,Mumbai,2018,425000,19509
Maruti Suzuki Ciaz VDi+ SHVS,₹ 6.75 Lakh,"60,000 km",Diesel,Ahmedabad,2017,675000,60000
Maruti Suzuki Alto 800 LXi (O),₹ 4.49 Lakh,"3,583 km",Petrol,Bangalore,2019,449000,3583
Chevrolet Optra Magnum LS 2.0 TCDi,₹ 3 Lakh,"1,48,000 km",Diesel + 1,Pallikarnai,2007,300000,148000
Maruti Suzuki Vitara Brezza VDi,₹ 9.5 Lakh,"48,748 km",Diesel,Hyderabad,2019,950000,48748
Jeep Compass Longitude 2.0 Diesel [2017-2020],₹ 13.25 Lakh,"38,000 km",Diesel,Thane,2018,1325000,38000
Toyota Corolla Altis VL AT Petrol,₹ 9.25 Lakh,"36,000 km",Petrol,Kolkata,2016,925000,36000
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 Lakh,"13,747 km",Petrol,Ahmedabad,2017,675000,13747
Mercedes-Benz EQC 400 4MATIC,₹ 95 Lakh,"3,200 km",Electric,Pune,2022,9500000,3200
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 8.71 Lakh,"12,795 km",Petrol,Chennai,2018,871000,12795
Hyundai i10 Magna 1.2 Kappa2,₹ 3.35 Lakh,"41,273 km",Petrol,Mumbai,2014,335000,41273
Hyundai Creta 1.6 SX Plus Petrol Special Edition,₹ 9.88 Lakh,"20,142 km",Petrol,Pune,2016,988000,20142
Porsche 718 Boxster,₹ 1.15 Crore,"6,500 km",Petrol,Pune,2020,1,6500
Kia Seltos HTE 1.5 Diesel,₹ 11 Lakh,"47,103 km",Diesel,Thane,2019,1100000,47103
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 9.9 Lakh,"7,755 km",Petrol,Mumbai,2020,990000,7755
Renault Kwid 1.0 RXL [2017-2019],₹ 3.45 Lakh,"33,513 km",Petrol,Gurgaon,2019,345000,33513
BMW 3 Series 320d Luxury Line,₹ 37.49 Lakh,"24,848 km",Diesel,Kolkata,2019,3749000,24848
Maruti Suzuki Baleno Alpha 1.2,₹ 6.39 Lakh,"34,559 km",Petrol,Delhi,2017,639000,34559
Hyundai i20 Sportz 1.2 IVT,₹ 8.9 Lakh,"4,000 km",Petrol,Ahmedabad,2022,890000,4000
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 6.59 Lakh,"54,544 km",Petrol,Kolkata,2018,659000,54544
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.92 Lakh,"42,247 km",Petrol,Kolkata,2018,392000,42247
Honda Jazz VX Diesel,₹ 8 Lakh,"1,00,000 km",Diesel,Hyderabad,2018,800000,100000
Maruti Suzuki Swift VDi,₹ 7.75 Lakh,"69,000 km",Diesel,Hyderabad,2019,775000,69000
Tata Nexon XZ Plus,₹ 11.52 Lakh,"10,422 km",Petrol,Delhi,2021,1152000,10422
Audi Q3 35 TDI Premium + Sunroof,₹ 16.75 Lakh,"52,000 km",Diesel,Mumbai,2014,1675000,52000
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 8.5 Lakh,"56,255 km",Petrol,Ahmedabad,2019,850000,56255
Hyundai Santro Sportz CNG [2018-2020],₹ 5.93 Lakh,"78,260 km",CNG,Delhi,2021,593000,78260
Maruti Suzuki Alto 800 LXi (O) CNG,₹ 4.15 Lakh,"19,970 km",CNG,Bangalore,2021,415000,19970
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.5 Lakh,"9,070 km",Petrol,Ahmedabad,2020,1850000,9070
Ford Figo Duratec Petrol ZXI 1.2,₹ 2.4 Lakh,"73,000 km",Petrol,Thane,2013,240000,73000
Audi Q3 2.0 TDI Base Grade,₹ 11.99 Lakh,"46,336 km",Diesel,Kolkata,2015,1199000,46336
Hyundai Creta SX Plus 1.6  Petrol,₹ 8.95 Lakh,"57,220 km",Petrol,Thane,2016,895000,57220
Honda Jazz ZX,₹ 9.68 Lakh,"7,096 km",Petrol,Pune,2021,968000,7096
Mercedes-Benz EQC 400 4MATIC,₹ 81 Lakh,"21,500 km",Electric,Bangalore,2020,8100000,21500
Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],₹ 4.93 Lakh,"44,045 km",Petrol,Pune,2015,493000,44045
BMW X1 sDrive20d,₹ 10.5 Lakh,"70,000 km",Diesel,Kolkata,2013,1050000,70000
Maruti Suzuki Swift ZDi Plus,₹ 7.85 Lakh,"32,853 km",Diesel,Thane,2018,785000,32853
BMW 5 Series 520d Luxury Line [2017-2019],₹ 38.99 Lakh,"26,781 km",Diesel,Kolkata,2017,3899000,26781
Skoda Superb L&K TSI AT,₹ 31 Lakh,"45,700 km",Petrol,Ahmedabad,2021,3100000,45700
Maruti Suzuki Swift DZire VXI,₹ 4.85 Lakh,"62,000 km",Petrol,Thane,2014,485000,62000
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.35 Lakh,"73,500 km",CNG,Thane,2017,435000,73500
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.51 Lakh,"74,076 km",CNG,Pune,2017,451000,74076
Tata Tiago Revotron XZA,₹ 5.45 Lakh,"56,355 km",Petrol,Mumbai,2018,545000,56355
Tata Tiago Revotron XT [2016-2019],₹ 4.5 Lakh,"37,000 km",Petrol,Thane,2017,450000,37000
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.81 Lakh,"22,158 km",CNG,Pune,2021,681000,22158
Hyundai Xcent S 1.2,₹ 3.95 Lakh,"62,568 km",Petrol,Noida,2014,395000,62568
Kia Seltos HTK 1.5 [2020-2021],₹ 11.43 Lakh,"19,970 km",Petrol,Pune,2019,1143000,19970
BMW 5 Series 520d Luxury Line,₹ 23 Lakh,"73,900 km",Diesel,Ahmedabad,2015,2300000,73900
Kia Seltos HTE 1.5,₹ 10.5 Lakh,"37,991 km",Petrol,Thane,2020,1050000,37991
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.75 Lakh,"58,676 km",Petrol,Mumbai,2018,1275000,58676
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.99 Lakh,"35,104 km",Petrol,Bangalore,2017,599000,35104
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 Lakh,"51,605 km",Petrol,Pune,2019,1620000,51605
Maruti Suzuki S-Presso VXi,₹ 4.2 Lakh,"17,472 km",Petrol,Delhi,2020,420000,17472
Hyundai Elite i20 Sportz 1.4,₹ 4.75 Lakh,"80,000 km",Diesel,Delhi,2015,475000,80000
Mercedes-Benz GLC 200 Progressive,₹ 66 Lakh,"16,785 km",Petrol,Bangalore,2021,6600000,16785
Mercedes-Benz E-Class E 200,₹ 68.99 Lakh,"3,999 km",Petrol,Bangalore,2020,6899000,3999
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.41 Lakh,"66,882 km",CNG,Pune,2017,441000,66882
Audi A4 35 TDI Technology,₹ 29.5 Lakh,"71,235 km",Diesel,Ahmedabad,2018,2950000,71235
Chevrolet Cruze LTZ AT,₹ 5.9 Lakh,"56,000 km",Diesel,Ahmedabad,2013,590000,56000
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.14 Lakh,"74,938 km",Petrol,Delhi,2016,414000,74938
Honda City 1.5 S MT,₹ 2.85 Lakh,"82,000 km",Petrol,Noida,2009,285000,82000
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.75 Lakh,"57,685 km",CNG,Pune,2021,675000,57685
Hyundai Elite i20 Sportz 1.2,₹ 7.1 Lakh,"48,000 km",Petrol,Hyderabad,2018,710000,48000
Mercedes-Benz C-Class 220 BlueEfficiency,₹ 13.95 Lakh,"1,20,000 km",Diesel,Hyderabad,2013,1395000,120000
Hyundai Eon Magna [2011-2012],₹ 3.2 Lakh,"33,146 km",Petrol,Ahmedabad,2015,320000,33146
Maruti Suzuki Baleno Delta 1.2,₹ 6.29 Lakh,"26,603 km",Petrol,Delhi,2019,629000,26603
Volkswagen Vento Comfortline 1.2 (P) AT,₹ 6.51 Lakh,"53,094 km",Petrol,Mumbai,2016,651000,53094
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.75 Lakh,"4,098 km",Petrol,Mumbai,2017,475000,4098
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.89 Lakh,"75,379 km",Petrol,Pune,2011,289000,75379
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 8.97 Lakh,"15,763 km",Petrol,Kolkata,2019,897000,15763
Mercedes-Benz C-Class 200 K AT,₹ 8.5 Lakh,"1,19,500 km",Petrol,Ahmedabad,2010,850000,119500
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.76 Lakh,"42,697 km",Petrol,Kolkata,2013,276000,42697
Hyundai Elite i20 Magna Executive 1.2,₹ 6.9 Lakh,"45,000 km",Petrol,Ahmedabad,2018,690000,45000
Maruti Suzuki Vitara Brezza ZDi Plus,₹ 10.44 Lakh,"55,174 km",Diesel,Pune,2019,1044000,55174
Honda City VX CVT,₹ 7.35 Lakh,"82,953 km",Petrol,Chennai,2016,735000,82953
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 3.9 Lakh,"85,138 km",Petrol,Pune,2016,390000,85138
Audi Q5 3.0 TDI quattro Premium Plus,₹ 25 Lakh,"57,000 km",Diesel,Hyderabad,2015,2500000,57000
Audi A6 2.0 TDI Premium,₹ 11.25 Lakh,"52,000 km",Diesel,Kolkata,2013,1125000,52000
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.79 Lakh,"27,623 km",Petrol,Bangalore,2016,979000,27623
Hyundai Xcent SX 1.2 (O),₹ 4.99 Lakh,"73,333 km",Petrol,Bangalore,2015,499000,73333
MG Hector Sharp 2.0 Diesel [2019-2020],₹ 16.59 Lakh,"45,999 km",Diesel,Bangalore,2019,1659000,45999
Maruti Suzuki Baleno Sigma 1.2,₹ 5.45 Lakh,"61,518 km",Petrol,Noida,2017,545000,61518
Maruti Suzuki S-Presso VXi Plus,₹ 4.76 Lakh,65 km,Petrol,Delhi,2021,476000,65
Maruti Suzuki Baleno Zeta 1.3,₹ 7.39 Lakh,"42,400 km",Diesel,Bangalore,2017,739000,42400
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 13.95 Lakh,"45,221 km",Petrol,Mumbai,2017,1395000,45221
Maruti Suzuki Ignis Zeta 1.2 MT,₹ 6.28 Lakh,"11,290 km",Petrol,Pune,2020,628000,11290
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.09 Lakh,"68,446 km",Petrol,Delhi,2016,409000,68446
Honda City V,₹ 5.9 Lakh,"51,850 km",Petrol,Mumbai,2015,590000,51850
Toyota Glanza G CVT,₹ 7.95 Lakh,"10,000 km",Petrol,Mumbai,2020,795000,10000
Audi Q3 2.0 TDI quattro Premium,₹ 11.9 Lakh,"69,500 km",Diesel,Ahmedabad,2012,1190000,69500
Maruti Suzuki Swift DZire ZXI,₹ 4.45 Lakh,"44,681 km",Petrol,Hyderabad,2012,445000,44681
Renault Kwid RXT [2015-2019],₹ 2.99 Lakh,"65,428 km",Petrol,Pune,2016,299000,65428
Hyundai Verna Fluidic 1.6 VTVT SX,₹ 3.91 Lakh,"84,344 km",Petrol,Delhi,2013,391000,84344
Maruti Suzuki Vitara Brezza ZDi Plus AGS,₹ 8.9 Lakh,"1,13,600 km",Diesel,Thane,2018,890000,113600
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 5.99 Lakh,"17,778 km",CNG,Delhi,2020,599000,17778
Maruti Suzuki Baleno Delta 1.2,₹ 5.8 Lakh,"33,269 km",Petrol,Kolkata,2018,580000,33269
MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 19.25 Lakh,"15,222 km",Petrol,Bangalore,2021,1925000,15222
Honda City V Diesel,₹ 9.25 Lakh,"87,139 km",Diesel,Hyderabad,2017,925000,87139
Maruti Suzuki Swift VXi ABS,₹ 3.4 Lakh,"69,551 km",Petrol,Delhi,2013,340000,69551
Hyundai Verna Fluidic 1.6 CRDi SX,₹ 4.85 Lakh,"72,500 km",Diesel,Thane,2013,485000,72500
Maruti Suzuki Swift ZXi,₹ 6.33 Lakh,"28,899 km",Petrol,Delhi,2018,633000,28899
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.96 Lakh,"13,595 km",Petrol,Kolkata,2017,396000,13595
Ford Endeavour Titanium 3.2 4x4 AT,₹ 24.75 Lakh,"83,000 km",Diesel,Mumbai,2016,2475000,83000
Hyundai Elite i20 Magna Executive 1.2,₹ 7.75 Lakh,"19,418 km",Petrol,Bangalore,2019,775000,19418
Volvo V40 D3 Kinetic,₹ 12 Lakh,"50,965 km",Diesel,Kolkata,2015,1200000,50965
Ford EcoSport Ambiente 1.5L TDCi,₹ 4.91 Lakh,"74,000 km",Diesel,Thane,2014,491000,74000
Hyundai Xcent SX CRDi,₹ 4.25 Lakh,"21,707 km",Diesel,Kolkata,2017,425000,21707
Mahindra XUV500 W8,₹ 7.4 Lakh,"83,555 km",Diesel,Hyderabad,2013,740000,83555
Hyundai Verna 1.6 VTVT SX,₹ 5.85 Lakh,"37,000 km",Petrol,Mumbai,2015,585000,37000
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 3.85 Lakh,"43,000 km",Petrol,Noida,2014,385000,43000
Maruti Suzuki Baleno Zeta 1.2 AT,₹ 6.9 Lakh,"21,769 km",Petrol,Mumbai,2017,690000,21769
BMW 5 Series 530i Sport Line,₹ 42.5 Lakh,"32,000 km",Petrol,Mumbai,2018,4250000,32000
Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],₹ 7.99 Lakh,"14,886 km",Petrol,Mumbai,2018,799000,14886
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.9 Lakh,"6,602 km",Petrol,Ahmedabad,2020,1890000,6602
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 3.85 Lakh,"58,000 km",CNG,Thane,2014,385000,58000
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.07 Lakh,"63,339 km",CNG,Pune,2014,407000,63339
Maruti Suzuki Ciaz Delta 1.5,₹ 8.3 Lakh,"4,500 km",Petrol,Faridabad,2020,830000,4500
Renault Triber RXZ EASY-R AMT,₹ 7.6 Lakh,"23,600 km",Petrol,Chennai,2020,760000,23600
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 9.55 Lakh,"17,844 km",Petrol,Kolkata,2019,955000,17844
Honda City SV,₹ 8.75 Lakh,"21,000 km",Petrol,Ahmedabad,2019,875000,21000
Tata Indica LS,₹ 2.5 Lakh,"60,000 km",Diesel,Thiruvallur,2017,250000,60000
Maruti Suzuki Celerio VXi AMT,₹ 4.5 Lakh,"34,530 km",Petrol,Thane,2016,450000,34530
Honda CR-V 2.4 AT,₹ 14 Lakh,"1,17,192 km",Petrol,Hyderabad,2014,1400000,117192
Honda Jazz VX Diesel,₹ 5.95 Lakh,"54,000 km",Diesel,Thane,2016,595000,54000
Nissan Terrano XL (P),₹ 6.79 Lakh,"38,999 km",Petrol,Bangalore,2016,679000,38999
Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,₹ 6.6 Lakh,"58,549 km",Diesel,Chennai,2017,660000,58549
Hyundai Elite i20 Sportz 1.2 [2016-2017],₹ 6.87 Lakh,"41,055 km",Petrol,Delhi,2019,687000,41055
Renault Kwid 1.0 RXT [2016-2019],₹ 3.04 Lakh,"53,728 km",Petrol,Delhi,2018,304000,53728
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.29 Lakh,"42,141 km",Petrol,Bangalore,2017,529000,42141
Tata Tiago JTP 1.2 [2018-2019],₹ 4.16 Lakh,"63,130 km",Petrol,Delhi,2018,416000,63130
Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.01 Lakh,"53,912 km",Petrol,Chennai,2016,301000,53912
Tata Nexon XMA Diesel,₹ 9.41 Lakh,"20,678 km",Diesel,Thane,2019,941000,20678
Tata Safari XTA Plus,₹ 23.75 Lakh,"4,259 km",Diesel,Bangalore,2022,2375000,4259
Honda Jazz E MT [2015-2016],₹ 4.9 Lakh,"48,866 km",Petrol,Ahmedabad,2016,490000,48866
Renault Kwid RXT [2015-2019],₹ 3.31 Lakh,"32,954 km",Petrol,Delhi,2018,331000,32954
Maruti Suzuki Wagon R 1.0 VXi,₹ 2.35 Lakh,"37,000 km",Petrol,Mumbai,2012,235000,37000
Mahindra XUV500 W11 AT,₹ 13.9 Lakh,"85,000 km",Diesel,Ahmedabad,2018,1390000,85000
Audi A3 35 TDI Premium + Sunroof,₹ 24.75 Lakh,"36,627 km",Diesel,Bangalore,2016,2475000,36627
Volkswagen Polo GT TSI,₹ 9.25 Lakh,"62,690 km",Petrol,Bangalore,2018,925000,62690
Toyota Innova Crysta GX 2.4 7 STR,₹ 21.5 Lakh,"12,039 km",Diesel,Ahmedabad,2020,2150000,12039
Honda City VX CVT Petrol,₹ 12.04 Lakh,"26,230 km",Petrol,Delhi,2020,1204000,26230
Hyundai Santro Sportz AMT,₹ 5.57 Lakh,"19,156 km",Petrol,Pune,2020,557000,19156
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,₹ 5.79 Lakh,"18,350 km",Petrol,Kolkata,2020,579000,18350
Hyundai Elite i20 Magna Executive 1.2,₹ 5.54 Lakh,"44,053 km",Petrol,Pune,2018,554000,44053
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.4 Lakh,"69,000 km",Petrol,Ahmedabad,2014,340000,69000
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 Lakh,"51,605 km",Petrol,Pune,2019,1620000,51605
BMW 5 Series 520d Sedan,₹ 43 Lakh,"40,000 km",Diesel,Ahmedabad,2017,4300000,40000
Tata Harrier XZ Plus Dual Tone,₹ 18.95 Lakh,"35,438 km",Diesel,Thane,2020,1895000,35438
BMW 7 Series 750Li Sedan,₹ 10 Lakh,"65,000 km",Petrol,Ahmedabad,2008,1000000,65000
Maruti Suzuki Ciaz Alpha 1.4 AT,₹ 8.85 Lakh,"38,500 km",Petrol,Ahmedabad,2020,885000,38500
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.84 Lakh,"20,583 km",CNG,Pune,2018,484000,20583
Skoda Rapid Style 1.5 TDI AT,₹ 7.15 Lakh,"81,325 km",Diesel,Kolkata,2016,715000,81325
Maruti Suzuki Baleno Zeta 1.2,₹ 5.9 Lakh,"35,000 km",Petrol,Ahmedabad,2017,590000,35000
Maruti Suzuki Celerio VXi AMT ABS,₹ 4.85 Lakh,"25,000 km",Petrol,Hyderabad,2015,485000,25000
Honda Jazz V Petrol,₹ 4.62 Lakh,"37,993 km",Petrol,Delhi,2015,462000,37993
Land Rover Discovery Sport HSE 7-Seater,₹ 34.99 Lakh,"21,693 km",Diesel,Kolkata,2018,3499000,21693
Hyundai Creta SX 1.6 (O) Petrol,₹ 10.25 Lakh,"63,194 km",Petrol,Thane,2018,1025000,63194
Hyundai i10 1.2 L Kappa Magna Special Edition,₹ 1.8 Lakh,"60,000 km",Petrol,Thane,2009,180000,60000
Honda City VX CVT Petrol [2017-2019],₹ 12 Lakh,"70,000 km",Petrol + 1,Ambattur,2018,1200000,70000
Tata Hexa XTA 4x2 6 STR,₹ 16 Lakh,"51,000 km",Diesel + 1,Ambattur,2018,1600000,51000
Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],₹ 8.3 Lakh,"22,024 km",Petrol,Thane,2019,830000,22024
Skoda Octavia 2.0 TDI L&K,₹ 20.95 Lakh,"35,793 km",Diesel,Hyderabad,2017,2095000,35793
Hyundai Tucson GLS 4WD AT Diesel,₹ 19.25 Lakh,"75,400 km",Diesel,Pune,2017,1925000,75400
Maruti Suzuki Swift Dzire LDI,₹ 4.75 Lakh,"84,996 km",Diesel,Hyderabad,2016,475000,84996
Maruti Suzuki Swift VXi,₹ 4.6 Lakh,"74,767 km",Petrol,Mumbai,2015,460000,74767
Honda Amaze 1.2 EX i-VTEC,₹ 3.42 Lakh,"63,956 km",Petrol,Gurgaon,2013,342000,63956
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.5 Lakh,"48,000 km",CNG,Thane,2017,450000,48000
Renault Duster 85 PS RxL Diesel,₹ 6.85 Lakh,"48,330 km",Diesel,Bangalore,2014,685000,48330
Maruti Suzuki Alto 800 Vxi,₹ 2.1 Lakh,"93,150 km",Petrol,Kolkata,2014,210000,93150
BMW X3 xDrive 30d M Sport [2015-2017],₹ 41 Lakh,"69,499 km",Diesel,Hyderabad,2016,4100000,69499
Mahindra TUV300 T8 AMT mHAWK100,₹ 5.45 Lakh,"75,000 km",Diesel,Noida,2016,545000,75000
Kia Carnival Prestige 7 STR,₹ 34.99 Lakh,"13,748 km",Diesel,Bangalore,2021,3499000,13748
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 10.75 Lakh,"30,672 km",Petrol,Bangalore,2019,1075000,30672
Jeep Compass Limited Plus Diesel [2018-2020],₹ 17.99 Lakh,"64,683 km",Diesel,Bangalore,2019,1799000,64683
Maruti Suzuki Baleno Alpha 1.2,₹ 7.11 Lakh,"69,886 km",Petrol,Mumbai,2019,711000,69886
Audi Q5 2.0 TDI quattro Premium,₹ 21.5 Lakh,"34,000 km",Diesel,Kolkata,2014,2150000,34000
Hyundai Creta SX 1.6 Petrol,₹ 11.49 Lakh,"62,137 km",Petrol,Bangalore,2019,1149000,62137
Maruti Suzuki Baleno Alpha 1.2,₹ 5.24 Lakh,"56,800 km",Petrol,Delhi,2016,524000,56800
Hyundai Xcent S 1.2,₹ 4.75 Lakh,"42,382 km",Petrol,Thane,2015,475000,42382
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.9 Lakh,"66,794 km",Petrol,Kolkata,2018,390000,66794
Honda City V CVT Petrol [2017-2019],₹ 11.5 Lakh,"19,600 km",Petrol,Ahmedabad,2020,1150000,19600
Mercedes-Benz S-Class 350 CDI L,₹ 19 Lakh,"85,489 km",Diesel,Hyderabad,2011,1900000,85489
Renault Triber RXZ EASY-R AMT,₹ 7.5 Lakh,"19,784 km",Petrol,Mumbai,2020,750000,19784
Honda City ZX CVT Petrol,₹ 12.85 Lakh,"19,238 km",Petrol,Mumbai,2020,1285000,19238
Maruti Suzuki Swift VXi,₹ 4.2 Lakh,"78,518 km",Petrol,Hyderabad,2013,420000,78518
Hyundai Creta E Plus 1.6 Petrol,₹ 8.55 Lakh,"54,104 km",Petrol,Mumbai,2017,855000,54104
Renault Duster 85 PS RXS 4X2 MT Diesel,₹ 8.99 Lakh,"55,300 km",Diesel,Bangalore,2018,899000,55300
Renault Kwid 1.0 RXT Opt [2016-2019],₹ 3.48 Lakh,"40,397 km",Petrol,Chennai,2018,348000,40397
Mahindra XUV500 W8,₹ 8.11 Lakh,"87,527 km",Diesel,Mumbai,2015,811000,87527
Toyota Glanza V,₹ 6.75 Lakh,"63,000 km",Petrol,Ahmedabad,2019,675000,63000
Maruti Suzuki Swift VDi ABS [2014-2017],₹ 5.67 Lakh,"83,647 km",Diesel,Pune,2016,567000,83647
Isuzu MU-X 4x2,₹ 21 Lakh,"75,592 km",Diesel,Hyderabad,2018,2100000,75592
Renault Duster 85 PS RxL Diesel (Opt),₹ 4.75 Lakh,"57,660 km",Diesel,Mumbai,2012,475000,57660
Honda Amaze 1.2 VX MT Petrol [2018-2020],₹ 6.85 Lakh,"42,277 km",Petrol,Noida,2018,685000,42277
Maruti Suzuki S-Presso VXi Plus,₹ 5.25 Lakh,"2,600 km",Petrol,Ahmedabad,2022,525000,2600
Volvo XC90 D5 AWD,₹ 22.57 Lakh,"51,000 km",Diesel,Ahmedabad,2014,2257000,51000
Hyundai Grand i10 Asta 1.2 Kappa VTVT,₹ 5.75 Lakh,"19,630 km",Petrol,Mumbai,2017,575000,19630
Honda City VX,₹ 7.45 Lakh,"42,218 km",Petrol,Mumbai,2016,745000,42218
Toyota Glanza G,₹ 7.08 Lakh,"69,553 km",Petrol,Chennai,2019,708000,69553
Maruti Suzuki Alto K10 VXi AMT [2014-2018],₹ 3.38 Lakh,"48,448 km",Petrol,Delhi,2017,338000,48448
Tata Tiago Revotron XT [2016-2019],₹ 4.84 Lakh,"60,167 km",Petrol,Delhi,2019,484000,60167
Honda City 1.5 V MT,₹ 3.95 Lakh,"61,000 km",Petrol,Noida,2012,395000,61000
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.34 Lakh,"26,282 km",Petrol,Pune,2015,434000,26282
Mercedes-Benz E-Class E 220 d Avantgarde,₹ 61.75 Lakh,"19,070 km",Diesel,Bangalore,2019,6175000,19070
Audi A4 3.0 TDI quattro Technology Pack,₹ 32 Lakh,"67,262 km",Diesel,Chennai,2018,3200000,67262
Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],₹ 8.72 Lakh,"5,814 km",Petrol,Kolkata,2020,872000,5814
Skoda Rapid Ultima Elegance 1.6 TDI CR MT,₹ 6.5 Lakh,"76,810 km",Diesel,Kolkata,2017,650000,76810
Honda Amaze 1.5 VX i-DTEC,₹ 4.95 Lakh,"63,587 km",Diesel,Mumbai,2015,495000,63587
Kia Seltos GTX Plus AT 1.4 [2019-2020],₹ 15.25 Lakh,"28,000 km",Petrol,Kolkata,2019,1525000,28000
Honda Amaze 1.5 S i-DTEC,₹ 4.99 Lakh,"42,637 km",Diesel,Bangalore,2014,499000,42637
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.32 Lakh,"52,775 km",Petrol,Pune,2017,432000,52775
Maruti Suzuki Ciaz Zeta Hybrid 1.5 AT [2018-2020],₹ 8.5 Lakh,"21,809 km",Petrol,Thane,2019,850000,21809
Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,₹ 7.25 Lakh,"45,689 km",Petrol,Mumbai,2016,725000,45689
Maruti Suzuki Celerio ZXi [2017-2019],₹ 4.33 Lakh,"34,251 km",Petrol,Pune,2017,433000,34251
Maruti Suzuki Ertiga VXI CNG,₹ 7.2 Lakh,"55,000 km",CNG,Thane,2016,720000,55000
Skoda Rapid Ambition 1.6 TDI CR MT,₹ 9.25 Lakh,"95,004 km",Diesel,Hyderabad,2018,925000,95004
Tata Harrier XZ [2019-2020],₹ 16.95 Lakh,"20,856 km",Diesel,Bangalore,2019,1695000,20856
